영역 ,하위역량,하위역량지표,역량순번,하위요소,전체순번,문항(보정),응답예시,비고
"창업위기감수 및 
극복 역량","창업기회
도전역량","탐험심
시도성",8,탐험심,32,나는 일상적인 업무에서도 과감히 시도해볼 만한 가능성과 명분을 찾는다. ,5,제외
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",1,위험감수,33,나는 새로운 방식으로 문제를 해결할 때 발생하는 위험을 감수한다.,5,선택
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",2,위험감수,34,나는 위험요소가 예상되더라도 사업의 성장을 위해서 위험을 감수한다.,5,선택
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",3,위기극복,35,나는 사업의 성장단계마다 크고 작은 실패 위험의 발생 원인을 찾아내서 대응한다.,3,선택
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",4,위기극복,36,나는 잠재적인 기회를 탐색할 때 위험이 예상되면 손실 대비 기대가치를 비교해 본다.,5,제외
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",5,위기극복,37,나는 불확실한 상황에서 회피하기보다는 위험 극복 방안을 적극적으로 찾는다.,3,제외
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",6,위험감수,38,나는 목적 달성을 위해서는 과감하고 용감한 행동이 필수적이라고 생각한다.,5,선택
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",7,위기극복,39,나는 위험성은 있을지라도 위험 대비 높은 성과를 낼 수 있는 일을 더 선호한다.,5,선택
"창업위기감수 및 
극복 역량","실패위험
감수역량","위험감수
위기극복",8,위험감수,40,나는 실패할 가능성이 있더라도 과감하게 혁신적인 프로젝트를 권장한다.,5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",1,긍정성,41,나는 업무상 겪게 되는 스트레스 등 심리적 문제가 있을 때 전문가의 도움을 받는다.,1,제외
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",2,긍정성,42,나는 일하는 과정에서 실패하더라도 실망하거나 좌절하기보다는 긍정적으로 해석한다.,5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",3,자기관리,43,나는 좌절하거나 괴로운 일로 인한 우울 증상을 이겨내기 위해 스스로 마음을 챙긴다.,5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",4,자기관리,44,"나는 일의 결과가 불투명하여 불안 증상이 생기면 신체활동이나 호흡 등으로 안정을 
시킨다.",5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",5,긍정성,45,나는 과로와 걱정으로 인한 수면 장애나 불면증을 개선하기 위한 방법을 찾는다.,5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",6,자기관리,46,"나는 어려운 문제나 상황을 접했을 때 음주·흡연 대신 음악감상 등 건전한 휴식을 
선택한다.",5,제외
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",7,긍정성,47,나는 실패했을 때 극단적인 생각 대신 실패경험을 더 큰 성장의 기회로 여긴다.,5,선택
"창업위기감수 및 
극복 역량","창업실패
극복역량","긍정성
자기관리",8,자기관리,48,나는 업무상 긴장 또는 스트레스를 운동이나 명상 등으로 관리한다.,5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",1,다양성,49,나는 어떤 일이든 기존 방법보다 새롭고 독창적인 방법을 찾아 해결한다.,5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",2,다양성,50,나는 고정관념에서 벗어나 다양한 관점에서 긍정적으로 사고한다.,5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",3,적극성,51,나는 새로운 것을 배워 긍정적으로 활용하고 시도하는 것에 희열을 느낀다.,5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",4,적극성,52,나는 어떤 문제 상황에서도 두뇌의 잠재력을 믿고 적극적으로 아이디어를 도출한다.,5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",5,다양성,53,"나는 관심 사항에 대해 끊임없이 다각도로 질문하고 고민하여 긍정적인 활용 방안을 
도출한다.",5,선택
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",6,다양성,54,나는 남들이 당연하게 생각하는 것도 상상력을 발휘하여 다르게 접근한다.,5,제외
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",7,적극성,55,나는 필요시 브레인스토밍 등 집단지성 방법을 적극적으로 활용한다.,1,제외
"창업두뇌활용 및 
계발 역량","긍정두뇌
활용역량","다양성
적극성",8,적극성,56,나는 적극적으로 떠오르는 아이디어의 메모 및 기록을 통해 두뇌효율성을 극대화한다.,3,제외
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",1,몰입성,57,"나는 문제해결 과정에서 체조, 스트레칭 등으로 몸과 뇌의 감각을 깨워 집중력을 
높인다.",5,선택
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",2,가소성,58,나는 창의적인 두뇌 활용으로 유연한 사고력과 문제해결 능력을 계발한다.,5,선택
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",3,가소성,59,"나는 창의적 사고력과 자신감을 키우기 위해 뇌의 부정적 생각을 긍정적 생각으로 
바꾼다.",5,선택
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",4,가소성,60,"나는 새로운 정보의 습득과 경험을 통해 뇌의 가용성을 향상시켜 업무 효율성을 
높인다.",5,제외
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",5,몰입성,61,나는 목표를 달성하기 위해 뇌의 창조성을 활용하고 실천하며 습관화한다.,5,선택
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",6,몰입성,62,나는 학습한 내용을 이해하고 분석 및 응용하여 창의적인 방안을 모색한다.,5,제외
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",7,몰입성,63,나는 끊임없이 주변을 관찰하고 창의적 발상을 위해 몰입한다.,3,제외
"창업두뇌활용 및 
계발 역량","창의두뇌
계발역량","가소성
몰입성",8,가소성,64,나는 새로운 학습과 경험을 바탕으로 기존의 과제를 창의적으로 개선한다.,3,제외
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",1,개방성,65,나는 전공 분야와 다른 분야에도 관심을 가지고 혁신적인 아이디어를 창출한다.,3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",2,개방성,66,나는 서로 다른 분야의 장단점을 모두 고려하여 혁신적인 가치를 도출한다.,3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",3,융합성,67,나는 서로 관계없는 사물이나 현상 간의 연관성을 탐구하여 혁신적인 성과를 창출한다.,1,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",4,융합성,68,나는 개방 및 공유된 정보 간의 독창적인 연결고리를 혁신적으로 도출한다.,3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",5,개방성,69,나는 기존 지식의 틀을 벗어나 정보를 수집하여 혁신적으로 활용한다.,3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",6,융합성,70,나는 여러 분야의 공유지식을 개방적으로 융합하여 혁신적인 결과물을 창출한다.,3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",7,융합성,71,"나는 새로운 분야를 적극적으로 접목하여 혁신적인 지식이나 정보로 융합하고 
재구성한다.",3,선택
"창업두뇌활용 및 
계발 역량","창업두뇌
혁신역량","개방성
융합성",8,개방성,72,나는 타문화에 대한 개방적 이해와 수용을 통해 우리 문화의 다양성을 추구한다.,3,선택
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",1,관계성,73,나는 내가 속한 공동체의 공유된 가치와 문화적 관계를 인식하고 업무에 적용한다.,3,선택
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",2,관계성,74,나는 사회적 관계에서 개인과 기업 모두의 협업이 중요하다고 인식한다.,3,제외
"주체적책임 및 
창업의식 역량","주체적
협업역량","관계성
유대감",3,유대감,75,나는 내가 속한 공동체의 이슈에 항상 관심이 있으며 원만한 해결 과정에 동참한다.,5,선택
